name|team|ip|w|sv|hld|era|whip|so|hr|qs|bb|hbp|bf
Adrian Morejon|SDP|10.7|2|0|3|6.75|1.59|10|0|0|2|0|49
Cal Quantrill|TEX|4.0|1|0|0|6.75|1.5|5|0|0|2|0|16
Tyler Schweitzer|CHW|1.3|0|0|0|6.75|2.25|1|0|0|1|0|7
Ken Waldichuk|WSH|9.3|0|0|0|6.75|1.5|8|4|0|6|1|41
Ryan Watson|BOS|12.0|0|0|0|6.75|1.67|6|3|0|7|1|57
Ryan Weiss|HOU|14.7|0|0|0|6.75|2.05|18|4|0|10|0|72
Cole Wilcox|SEA|8.0|0|0|0|6.75|1.75|10|1|0|4|2|39
Brandon Sproat|MIL|17.0|0|0|0|6.88|1.71|16|4|1|11|0|74
Ryne Nelson|ARI|20.7|1|0|0|6.97|1.45|20|4|0|9|0|96
Dustin May|STL|19.3|2|0|0|6.98|1.6|15|2|2|4|2|84
Luis Gil|NYY|9.0|0|0|0|7.0|1.44|7|4|0|5|1|41
Juan Mejia|COL|9.0|0|1|0|7.0|2.0|7|1|0|4|1|43
Griffin Jax|TBR|7.7|1|0|2|7.04|1.96|7|2|0|6|0|38
AJ Blubaugh|HOU|14.0|2|0|1|7.07|1.64|12|3|0|8|0|65
Mason Englert|TBR|12.7|0|1|0|7.11|1.82|10|4|0|4|0|60
Luis García|NYM|6.3|0|0|0|7.11|2.05|4|0|0|2|0|32
Zack Littell|WSH|19.0|0|0|0|7.11|1.74|14|7|0|6|0|89
Chris Martin|TEX|6.3|1|0|1|7.11|1.74|7|1|0|0|1|29
Jordan Romano|LAA|6.3|0|4|0|7.11|1.74|10|1|0|5|0|30
Devin Williams|NYM|6.3|0|2|0|7.11|2.05|11|1|0|3|0|31
Eric Lauer|TOR|17.7|1|0|0|7.13|1.47|16|4|0|10|0|79
Max Scherzer|TOR|16.3|1|0|0|7.16|1.29|10|4|2|5|1|68
Drew Anderson|DET|10.0|0|1|1|7.2|1.6|9|2|0|7|1|47
Peter Lambert|HOU|5.0|0|0|0|7.2|1.6|8|0|0|1|2|24
Justin Lawrence|PIT|10.0|0|0|2|7.2|1.6|13|3|0|5|2|48
Tyler Mahle|SFG|18.7|0|0|0|7.23|1.93|21|6|0|12|0|88
Tatsuya Imai|HOU|8.7|1|0|0|7.27|2.08|13|0|0|11|1|44
Michael Lorenzen|COL|21.7|1|0|0|7.48|2.08|16|4|0|6|3|115
Andrew Nardi|MIA|6.0|1|0|2|7.5|2.0|8|1|0|5|0|29
