name|ip|w|sv|hld|so|hr|er|h|bb|tbf
Albert Suarez|3.0|0|1|0|2|1|1|2|1|12
Cooper Criswell|6.0|0|1|0|7|2|2|4|1|21
Brant Hurter|3.0|0|0|0|1|1|1|4|0|13
PJ Poulin|3.0|0|0|2|2|0|1|1|4|14
Anthony Kay|4.2|0|0|0|5|1|2|3|4|21
Carter Baumler|4.2|0|0|0|5|1|2|4|6|24
Ryan Borucki|2.1|0|0|0|1|1|1|1|1|8
Tanner Bibee|9.0|0|0|0|11|3|4|8|4|38
John Schreiber|2.0|0|1|0|1|1|1|2|0|8
Aaron Nola|5.0|0|0|0|7|2|3|5|2|22
Justin Bruihl|3.1|0|0|0|2|0|2|2|3|15
Ken Waldichuk|3.1|0|0|0|2|1|2|3|2|15
Danny Coulombe|1.2|0|0|0|1|1|1|2|1|8
Colin Holderman|3.0|0|0|0|3|1|2|2|2|14
Walker Buehler|4.0|0|0|0|3|1|3|5|2|19
Brady Singer|4.0|0|0|0|5|1|3|5|2|20
Kenley Jansen|1.1|0|1|0|4|1|1|1|0|5
Cionel Perez|2.2|0|0|1|3|2|2|3|0|12
Roddery Munoz|2.2|0|0|0|4|1|2|3|4|15
Christian Roa|1.1|0|0|0|2|1|1|1|2|7
Kody Funderburk|2.2|0|0|1|5|1|2|5|2|15
Miles Mikolas|5.0|0|0|0|4|1|4|6|3|25
Ryan Walker|2.1|0|1|0|3|1|2|2|2|11
Phil Maton|2.1|0|0|0|3|0|2|2|3|13
Cole Sulser|3.1|0|0|0|2|1|3|6|1|18
Ranger Suarez|4.1|0|0|0|3|2|4|7|1|20
Brad Keller|3.0|0|0|1|2|1|3|3|1|13
Jesus Luzardo|6.0|0|0|0|7|2|6|6|1|25
Andres Munoz|2.0|0|0|0|3|1|2|3|0|9
Brayan Bello|4.2|0|0|0|2|1|5|8|3|25
Johan Oviedo|3.2|0|0|0|3|2|4|6|1|18
Pierce Johnson|2.2|0|0|2|1|1|3|6|0|14
Nathan Eovaldi|8.2|0|0|0|12|3|11|16|3|45
Drew Anderson|2.1|0|0|0|2|1|3|4|2|13
Jordan Hicks|2.1|0|1|0|2|0|3|2|5|13
Mason Montgomery|3.0|0|0|1|6|1|4|4|4|17
Justin Verlander|3.2|0|0|0|1|1|5|6|2|19
Slade Cecconi|4.1|0|0|0|5|1|6|6|3|24
Bailey Falter|3.1|0|0|0|4|1|5|8|2|20
Joel Payamps|1.1|0|0|0|2|1|2|2|1|7
Taylor Clarke|2.1|0|0|2|3|1|4|4|0|12
Ryan Johnson|3.1|0|0|0|2|1|6|7|4|21
Chris Roycroft|1.2|0|0|0|0|0|3|6|3|15
Tyler Gilbert|1.0|0|0|0|0|1|2|2|1|6
Chris Paddack|4.0|0|0|0|6|2|8|8|0|21
Mason Englert|2.0|0|0|0|1|2|4|5|0|11
Shane Smith|4.2|0|0|0|3|1|10|11|4|30
Kyle Backhus|1.1|0|0|0|1|1|3|4|1|9
Andre Granillo|1.1|0|0|0|1|1|3|2|1|7
Tyler Heineman|2.0|0|0|0|0|1|5|7|1|14
Richard Lovelady|4.0|1|0|0|4|1|2|6|3|20
Chase Dollander|4.0|1|0|0|5|3|4|5|2|19
Spencer Miles|2.2|1|0|0|3|1|3|3|2|12
Justin Lawrence|3.2|0|0|1|6|2|2|2|2|15
Zack Littell|5.0|0|0|0|1|2|3|6|2|23
Zak Kent|1.2|0|0|0|2|2|1|3|3|11
Michael Kelly|2.1|0|0|0|2|1|2|4|0|10
Hoby Milner|2.1|0|0|0|0|1|2|3|0|11
Ryne Nelson|4.2|0|0|0|4|2|4|2|3|19
Greg Weissert|2.2|0|0|0|4|2|3|3|2|13
Luis Morales|4.1|0|0|0|5|3|5|5|2|20
Brandon Williamson|4.2|0|0|0|3|3|6|6|2|22
German Marquez|3.0|0|0|0|1|2|4|8|1|18
Seranthony Dominguez|1.1|0|0|0|0|1|2|3|1|8
Jedixson Paez|3.0|0|0|0|0|2|6|4|3|16
Bryan Abreu|2.1|0|1|1|6|2|5|2|4|13
Jose Butto|2.0|0|0|0|5|2|5|6|4|16
Brendon Little|2.1|0|0|0|4|1|7|7|3|17
Juan Morillo|3.0|0|0|2|2|1|2|2|2|13
Cole Ragans|4.0|0|0|0|5|3|4|6|4|21
Victor Vodnik|2.0|0|0|0|1|1|2|4|0|10
Cristian Javier|4.2|0|0|0|1|2|6|4|4|21
Brandon Sproat|3.0|0|0|0|3|3|7|6|4|18
Yaramil Hiraldo|1.2|0|0|0|2|2|4|3|4|12
Griffin Jax|2.0|0|0|0|1|1|5|5|2|14
Carlos Estevez|0.1|0|0|0|0|1|6|4|2|7
Emilio Pagan|3.1|0|1|0|4|2|5|5|1|17
Hunter Barco|3.0|0|0|0|3|3|4|7|2|19
