name|pa|ab|h|hr|r|rbi|sb|so|bb|hbp|sf|x1b|x2b|x3b
Lane Thomas|10|9|1|0|0|0|0|4|1|0|0|1|0|0
Nick Kurtz|21|17|1|0|3|0|1|11|4|0|0|1|0|0
Bryce Harper|22|20|2|0|1|2|0|4|2|0|0|2|0|0
Spencer Steer|16|13|1|0|0|1|0|4|2|0|1|1|0|0
Ryan McMahon|16|14|1|0|1|2|0|7|2|0|0|1|0|0
Nolan Arenado|16|16|2|0|1|0|0|5|0|0|0|2|0|0
Edgar Quero|15|13|1|0|1|0|0|4|1|0|0|1|0|0
Bo Naylor|16|15|1|0|0|0|0|5|1|0|0|1|0|0
Joc Pederson|11|8|0|0|0|1|0|3|2|0|1|0|0|0
Gabriel Arias|17|16|1|0|0|0|0|7|1|0|0|1|0|0
Spencer Horwitz|12|12|1|0|0|0|0|4|0|0|0|1|0|0
Tyler Stephenson|10|9|0|0|0|0|0|2|1|0|0|0|0|0
Rob Refsnyder|8|8|0|0|0|0|0|3|0|0|0|0|0|0
Lenyn Sosa|10|10|0|0|0|0|0|4|0|0|0|0|0|0
Richie Palacios|7|7|0|0|0|0|0|1|0|0|0|0|0|0
Spencer Torkelson|22|20|3|0|2|3|0|8|2|0|0|2|1|0
Dylan Beavers|9|9|1|0|0|2|0|2|0|0|0|0|1|0
Jake McCarthy|19|18|2|0|0|1|3|4|0|1|0|1|1|0
Carlos Santana|18|16|1|0|1|0|0|6|2|0|0|0|1|0
C.J. Kayfus|13|10|0|0|1|0|0|6|2|1|0|0|0|0
Marcell Ozuna|18|16|1|0|0|0|0|3|2|0|0|1|0|0
