name|barrel_pct|hard_hit_pct|woba|xwoba
Sean Bouchard|0.0|30.8|.225|.227
Keston Hiura|0.0|18.2|.289|.242
Kyle Teel|9.6|37.6|.349|.337
Jeremy Peña|8.2|42.9|.363|.334
Dylan Beavers|9.3|28.0|.347|.344
Chadwick Tromp|6.7|40.0|.221|.213
Jacob Stallings|1.3|26.3|.171|.211
J.P. Crawford|4.8|34.7|.322|.329
Ozzie Albies|4.9|30.7|.295|.299
Michael Harris II|9.1|43.4|.289|.315
Pete Crow-Armstrong|13.0|41.6|.323|.321
Kyle Stowers|19.0|52.0|.386|.375
Shay Whitcomb|4.5|18.2|.146|.198
Curtis Mead|4.5|34.8|.278|.289
Tyler Wade|0.0|15.0|.262|.247
Ryan Ritter|1.5|30.5|.280|.248
Brandon Lowe|12.9|46.6|.334|.335
Austin Nola|0.0|44.1|.198|.275
Harry Ford|25.0|50.0|.201|.281
Francisco Lindor|8.8|44.4|.350|.345
Jonny DeLuca|2.3|31.8|.350|.267
Corey Julks|0.0|20.0|.260|.162
Miguel Amaya|6.6|32.9|.346|.295
Rece Hinds|18.2|50.0|.177|.250
Luis Rengifo|5.0|32.7|.275|.302
Matt Gorski|12.0|32.0|.256|.253
Tyler Heineman|3.2|22.4|.341|.273
Daniel Schneemann|11.4|41.7|.280|.297
Stuart Fairchild|13.9|36.1|.266|.264
Jurickson Profar|7.3|40.3|.346|.325
Dominic Smith|4.2|35.5|.325|.306
José Barrero|5.0|20.0|.209|.180
Sean Murphy|13.2|43.1|.309|.314
Paul DeJong|10.3|39.7|.278|.259
Ketel Marte|13.5|47.0|.381|.390
Brice Turang|7.9|47.4|.346|.335
Orlando Arcia|2.5|33.8|.233|.240
Roman Anthony|15.5|60.3|.376|.372
