name|team|pos|pa|hr|r|rbi|sb|so|avg|obp|slg|war
JJ Bleday|CIN|OF|343|14|43|44|2|78|230|317|424|6
Darell Hernaiz|ATH|3B/SS|196|3|21|20|3|28|262|324|369|6
Casey Schmitt|SFG|2B/3B|203|6|22|24|1|46|248|305|403|6
Jordan Beck|COL|OF|581|17|66|65|17|161|252|315|415|6
George Valera|CLE|DH/OF|364|13|44|41|2|103|231|312|399|6
Tyler Freeman|COL|OF|329|5|41|31|12|41|274|354|386|6
Edgar Quero|CHW|C/DH|466|10|45|48|1|85|252|326|366|6
Drew Millas|WSN|C|141|2|15|14|3|24|247|310|366|6
Alex Call|LAD|OF|140|4|17|16|2|26|240|344|390|6
Kyle Karros|COL|3B|217|3|25|22|2|50|261|333|381|6
Miguel Rojas|LAD|SS|161|3|18|16|2|22|256|311|374|6
Liam Hicks|MIA|C/1B|297|4|29|28|2|47|244|343|344|6
Kody Clemens|MIN|1B|231|9|28|30|2|56|231|292|424|6
Mauricio Dubón|ATL|2B/OF|427|7|48|41|4|52|258|298|366|6
Travis d'Arnaud|LAA|C|231|7|23|25|0|65|216|276|376|6
Joey Loperfido|HOU|OF|413|12|47|49|8|115|239|301|392|6
José Tena|WSN|3B|217|4|23|22|6|55|253|308|373|6
Leo Rivas|SEA|2B/SS|161|2|19|14|7|40|215|334|301|6
Jake Bauers|MIL|1B/OF|301|12|35|36|8|91|216|316|408|6
Graham Pauley|MIA|3B|287|8|32|32|4|58|229|303|379|6
Moisés Ballesteros|CHC|DH|361|9|39|43|2|62|264|327|400|6
Miguel Andujar|SDP|3B/OF|364|9|39|44|2|54|274|317|415|6
Jake Fraley|TBR|OF|406|10|45|43|13|83|243|320|371|6
Ben Williamson|TBR|3B|231|2|24|21|5|48|252|311|347|6
Braxton Fulford|COL|C|186|5|22|22|2|50|244|316|405|6
Sam Haggerty|TEX|OF|259|3|32|24|13|57|247|317|361|6
Blake Perkins|MIL|OF|196|4|22|19|7|53|223|308|342|5
Andrés Chaparro|WSN|1B/DH|259|9|28|32|1|62|239|309|413|5
Andrew Benintendi|CHW|OF|525|16|58|61|3|91|251|317|400|5
Angel Martínez|CLE|OF|266|6|29|27|4|57|236|290|370|5
Thomas Saggese|STL|2B/SS|196|4|21|21|2|49|249|302|375|5
Rob Refsnyder|SEA|OF|266|8|31|31|3|75|234|323|390|5
Jeremiah Jackson|BAL|3B/OF|224|8|25|28|4|51|244|285|411|5
Lane Thomas|KCR|OF|413|12|50|47|14|107|232|303|392|5
Jesse Winker||OF|231|6|26|25|3|50|239|351|385|5
Amed Rosario|NYY|SS|224|4|24|25|4|39|262|296|380|5
Javier Sanoja|MIA|3B/OF|203|3|21|21|5|21|258|306|380|5
Austin Wynns|ATH|C|166|4|16|19|1|46|233|291|363|5
José Fermín|STL|2B/3B|140|2|17|14|5|17|242|340|364|5
Michael Massey|KCR|2B|252|7|26|28|2|47|249|291|393|5
Noelvi Marte|CIN|3B/OF|518|16|62|63|14|114|253|306|411|5
Andy Ibáñez|ATH|2B/3B|224|5|24|25|3|43|245|305|383|5
Javier Báez|DET|SS|392|10|42|46|6|93|237|274|376|5
Esteury Ruiz|MIA|OF|112|2|15|12|10|25|246|325|386|5
Jordan Walker|STL|OF|539|15|55|59|10|141|239|303|386|5
Will Benson|CIN|OF|224|8|28|27|6|68|225|312|412|5
Alan Roden|MIN|OF|161|3|20|17|2|28|257|338|384|5
Johnathan Rodríguez|CLE|OF|182|6|20|22|1|52|250|319|415|5
Gary Sánchez|MIL|C|143|7|16|20|0|39|222|300|424|5
Rafael Marchán|PHI|C|128|2|13|13|0|21|231|307|344|5
Christopher Morel|MIA|DH/OF|371|15|43|45|7|111|223|303|409|4
Jonny DeLuca|TBR|OF|294|8|32|31|9|61|232|296|379|4
James Outman|MIN|OF|189|6|24|20|4|64|216|307|389|4
Yohel Pozo|STL|C/DH|179|5|19|22|1|22|264|289|415|4
Vaughn Grissom|LAA|2B|140|3|16|14|2|27|249|316|371|4
Ezequiel Duran|TEX|3B|259|5|28|26|8|61|246|292|376|4
Cody Freeman|TEX|2B|203|5|23|22|3|31|245|292|380|4
Taylor Walls|TBR|SS|301|5|33|27|13|71|213|295|322|4
Zack Gelof|ATH|2B|112|4|14|14|3|36|228|299|399|4
Tyrone Taylor|NYM|OF|273|6|31|28|7|61|232|284|372|4
Matt Vierling|DET|OF|224|5|25|23|3|52|245|311|381|4
Jon Berti||3B|147|2|17|12|8|31|249|313|337|4
Tyler Austin|CHC|1B|161|7|20|22|0|40|246|319|447|4
James McCann|ARI|C|200|5|21|22|1|51|239|288|378|4
Starling Marte|KCR|OF|273|6|32|29|8|58|265|323|393|4
Ronny Mauricio|NYM|2B/3B|133|4|16|16|3|33|244|296|402|4
Jahmai Jones|DET|2B/DH/OF|126|4|17|15|2|31|244|341|420|4
Daniel Schneemann|CLE|2B/OF|175|4|19|17|3|47|219|299|359|4
Nathan Church|STL|OF|203|3|23|21|5|28|253|310|359|4
Jett Williams|MIL|SS|147|3|18|16|5|39|222|307|369|3
Jimmy Crooks|STL|C|97|2|10|10|0|26|238|297|367|3
Masataka Yoshida|BOS|DH/OF|175|4|19|21|2|23|279|338|422|3
Carlos Cortes|ATH|OF|161|5|19|19|1|34|239|309|404|3
Triston Casas|BOS|1B|140|6|16|18|0|35|240|340|434|3
Dane Myers|CIN|OF|238|6|26|28|9|60|245|306|374|3
Oswald Peraza|LAA|3B|217|6|24|21|7|56|218|284|345|3
Connor Wong|BOS|C|211|5|23|21|3|52|244|305|379|3
Max Kepler||OF|126|4|15|15|1|26|237|312|410|3
Everson Pereira|CHW|OF|210|8|27|24|4|67|227|298|396|3
César Salazar|HOU|C|96|2|10|10|1|20|209|303|321|3
