name|team|role|ip|w|sv|hld|era|whip|so|hr|qs|gs|g|war
Shawn Armstrong|CLE|RP|680|3|3|16|381|1215|68|8|0|0|68|4
Taylor Rogers|MIN|RP|610|4|19|6|413|1361|65|8|0|0|61|4
Jordan Montgomery|TEX|RP|490|3|0|1|437|1346|40|7|2|6|18|4
Clayton Beeter|WSN|RP|630|3|17|9|398|1358|72|7|0|0|63|4
Danny Coulombe||RP|440|2|0|0|366|1259|43|5|0|0|44|4
Victor Vodnik|COL|RP|640|3|23|4|425|1458|62|7|0|0|64|4
Payton Tolle|BOS|RP|420|2|0|1|405|1249|44|6|2|5|23|4
Yennier Cano|BAL|RP|600|4|1|13|366|1304|55|6|0|0|60|4
Tyler Kinley|ATL|RP|630|4|0|13|401|1293|70|8|0|0|63|4
Gabe Speier|SEA|RP|580|4|0|12|334|1136|67|7|0|0|58|4
Justin Sterner|ATH|RP|650|3|8|10|415|1278|65|9|0|0|65|4
Eduard Bazardo|SEA|RP|680|3|1|14|363|1207|69|8|0|0|68|4
Taijuan Walker|PHI|RP|1200|6|0|1|497|1432|85|20|5|16|50|4
Connor Prielipp|MIN|RP|640|4|0|1|406|1341|59|7|2|5|45|4
Martín Pérez|ATL|SP|450|2|0|0|452|1434|34|6|4|8|8|4
Justin Wrobleski|LAD|RP|660|4|0|1|426|1300|60|9|2|5|42|4
Jordan Romano|LAA|RP|630|4|3|12|424|1285|68|9|0|0|63|4
Riley O'Brien|STL|RP|630|3|13|11|371|1316|65|6|0|0|63|4
Jakob Junis|TEX|RP|650|3|1|14|408|1229|57|8|0|0|65|4
Justin Slaten|BOS|RP|610|4|0|14|399|1289|58|7|0|0|61|4
Tyler Holton|DET|RP|720|4|1|14|365|1180|60|9|0|0|72|4
Kody Funderburk|MIN|RP|650|4|2|15|386|1348|62|6|0|0|65|4
Hunter Gaddis|CLE|RP|660|3|3|14|387|1229|64|9|0|0|66|4
Aaron Bummer|ATL|RP|600|3|0|12|357|1315|62|5|0|0|60|4
Trevor McDonald|SFG|RP|720|4|0|1|419|1343|56|8|3|8|34|4
John Schreiber|KCR|RP|640|3|1|14|405|1300|59|7|0|0|64|4
Luis Medina|ATH|RP|730|4|0|1|452|1408|66|9|2|6|46|4
Tanner Banks|PHI|RP|620|3|0|12|385|1226|58|8|0|0|62|4
Caden Dana|LAA|SP|860|5|0|0|499|1432|76|14|7|16|16|4
Justin Topa|MIN|RP|620|3|2|12|403|1343|51|6|0|0|62|4
Kyle Finnegan|DET|RP|640|4|4|13|392|1302|60|8|0|0|64|3
Kenley Jansen|DET|RP|600|4|23|4|410|1241|60|9|0|0|60|3
Kyle Hurt|LAD|RP|500|3|0|1|435|1373|53|7|2|5|31|3
Hayden Birdsong|SFG|RP|500|3|0|1|445|1397|49|7|3|8|18|3
Mason Englert|TBR|RP|600|3|1|12|399|1243|56|8|0|0|60|3
Marcus Stroman||SP|510|3|0|0|471|1442|36|7|4|10|10|3
