name|team|pa|hr|r|rbi|sb|so|avg|obp|slg
Moises Ballesteros|CHC|7|0|1|0|0|3|0.167|0.286|0.167
Matt Chapman|SFG|12|0|0|1|0|2|0.111|0.333|0.111
Carson Williams|TBR|9|0|2|2|0|2|0.222|0.222|0.222
Jazz Chisholm Jr.|NYY|12|0|1|0|1|4|0.182|0.25|0.182
Fernando Tatis Jr.|SDP|12|0|1|1|1|3|0.182|0.25|0.182
Jordan Lawlar|ARI|7|0|0|0|0|3|0.143|0.143|0.286
Ryan McMahon|NYY|10|0|1|2|0|3|0.125|0.3|0.125
Willson Contreras|BOS|10|0|0|0|0|3|0.0|0.4|0.0
Kody Clemens|MIN|5|0|0|1|0|2|0.2|0.2|0.2
Griffin Conine|MIA|5|0|0|0|1|1|0.2|0.2|0.2
Nick Yorke|PIT|5|0|0|0|0|1|0.2|0.2|0.2
J.T. Realmuto|PHI|8|0|1|0|0|5|0.143|0.25|0.143
Jeff McNeil|ATH|8|0|1|0|1|2|0.143|0.25|0.143
Otto Lopez|MIA|8|0|1|0|1|1|0.143|0.25|0.143
Ryan Jeffers|MIN|8|0|0|0|0|3|0.143|0.25|0.143
Colson Montgomery|CHW|8|0|0|0|0|4|0.143|0.25|0.143
Dansby Swanson|CHC|8|0|2|1|0|0|0.0|0.375|0.0
Matt Wallner|MIN|8|0|0|0|0|2|0.0|0.375|0.0
Jakob Marsee|MIA|8|0|0|0|1|3|0.125|0.125|0.25
Ronald Acuna Jr.|ATL|9|0|0|0|0|3|0.125|0.222|0.125
Joc Pederson|TEX|3|0|0|0|0|0|0.0|0.333|0.0
Andy Ibanez|ATH|3|0|0|0|0|1|0.0|0.333|0.0
Miguel Vargas|CHW|6|0|0|0|0|4|0.0|0.333|0.0
Nick Kurtz|ATH|9|0|3|0|1|5|0.0|0.333|0.0
Kyle Karros|COL|6|0|0|0|1|2|0.167|0.167|0.167
Cal Raleigh|SEA|13|0|0|0|1|9|0.091|0.231|0.091
Julio Rodriguez|SEA|13|0|0|1|0|6|0.091|0.231|0.091
Cam Smith|HOU|13|0|1|0|1|5|0.091|0.231|0.091
Francisco Lindor|NYM|10|0|3|0|0|1|0.0|0.3|0.0
Coby Mayo|BAL|7|0|0|0|1|2|0.0|0.286|0.0
Tyler Stephenson|CIN|4|0|0|0|0|0|0.0|0.25|0.0
Nathan Lukes|TOR|4|0|1|0|0|0|0.0|0.25|0.0
Trevor Larnach|MIN|4|0|1|0|0|1|0.0|0.25|0.0
Drew Millas|WSN|4|0|0|0|0|1|0.0|0.25|0.0
C.J. Kayfus|CLE|8|0|1|0|0|2|0.0|0.25|0.0
Randal Grichuk|NYY|2|0|0|0|0|0|0.0|0.0|0.0
Amed Rosario|NYY|2|0|0|0|0|0|0.0|0.0|0.0
Michael Conforto|CHC|1|0|0|0|0|1|0.0|0.0|0.0
Isiah Kiner-Falefa|BOS|2|0|0|0|0|1|0.0|0.0|0.0
Derek Hill|CHW|1|0|0|0|0|1|0.0|0.0|0.0
Sam Haggerty|TEX|2|0|0|0|0|2|0.0|0.0|0.0
Jahmai Jones|DET|2|0|0|0|0|0|0.0|0.0|0.0
Leody Taveras|BAL|1|0|0|0|0|1|0.0|0.0|0.0
Nathaniel Lowe|CIN|1|0|0|0|0|0|0.0|0.0|0.0
Luis Rengifo|MIL|2|0|0|0|0|0|0.0|0.0|0.0
Connor Wong|BOS|1|0|0|0|0|1|0.0|0.0|0.0
