name|team|ip|w|sv|hld|era|whip|so|hr|qs|gs|g
Ryne Nelson|ARI|154|7|1|0|3.39|1.071|132|17|11|23|33
Patrick Corbin|TEX|155.1|7|0|0|4.4|1.367|131|21|6|30|31
Spencer Strider|ATL|125.1|7|0|0|4.45|1.399|131|20|11|23|23
Bryce Elder|ATL|156.1|8|0|0|5.3|1.397|131|24|14|28|28
Zack Littell|2 Tms|186.2|10|0|0|3.81|1.106|130|36|17|32|32
Nathan Eovaldi|TEX|130|11|0|0|1.73|0.854|129|10|14|22|22
Clay Holmes|NYM|165.2|12|0|0|3.53|1.308|129|14|8|31|33
Colin Rea|CHC|159.1|11|1|0|3.95|1.251|127|20|7|27|32
Michael Lorenzen|KCR|141.2|7|0|0|4.64|1.331|127|25|9|26|27
Taj Bradley|2 Tms|142.2|6|0|0|5.05|1.315|127|19|13|27|27
Drew Rasmussen|TBR|150|10|0|0|2.76|1.020|127|18|8|31|31
Chad Patrick|MIL|119.2|3|0|1|3.53|1.284|127|13|5|23|27
Michael Wacha|KCR|172.2|10|0|0|3.86|1.225|126|15|13|31|31
Seth Lugo|KCR|145.1|8|0|0|4.15|1.296|125|27|12|26|26
Luis Severino|ATH|162.2|8|0|0|4.54|1.307|124|16|10|29|29
Kyle Freeland|COL|162.2|5|0|0|4.98|1.424|124|22|14|31|31
Jake Irvin|WSN|180|9|0|0|5.7|1.428|124|38|9|33|33
Brayan Bello|BOS|166.2|11|0|0|3.35|1.239|124|16|16|28|29
Grant Holmes|ATL|115|4|0|0|3.99|1.339|123|16|9|21|22
Dustin May|2 Tms|132.1|7|0|0|4.96|1.423|123|21|10|23|25
Matthew Liberatore|STL|151.2|8|0|0|4.21|1.310|122|19|11|29|29
Logan Allen|CLE|156.2|8|0|0|4.25|1.402|122|18|7|29|30
Lucas Giolito|BOS|145|10|0|0|3.41|1.290|121|17|14|26|26
Ben Brown|CHC|106.1|5|1|1|5.92|1.442|121|18|3|15|25
Bailey Ober|MIN|146.1|6|0|0|5.1|1.300|120|30|8|27|27
Cade Povich|BAL|112.1|3|0|0|5.21|1.499|118|17|3|20|22
JP Sears|2 Tms|135.2|9|0|0|5.04|1.324|117|30|6|27|27
Shota Imanaga|CHC|144.2|9|0|0|3.73|0.992|117|31|12|25|25
Nick Martinez|CIN|165.2|11|0|5|4.45|1.211|116|22|11|26|40
Kris Bubic|KCR|116.1|8|0|0|2.55|1.180|116|6|11|20|20
Kyle Hendricks|LAA|164.2|8|0|0|4.76|1.279|114|25|11|31|31
Noah Cameron|KCR|138.1|9|0|0|2.99|1.101|114|18|10|24|24
Jacob Lopez|ATH|92.2|7|0|0|4.08|1.280|113|15|7|17|21
Chris Paddack|2 Tms|158|5|1|0|5.35|1.285|112|31|6|28|33
Andre Pallante|STL|162.2|6|0|0|5.31|1.449|111|21|9|31|31
Slade Cecconi|CLE|132|7|0|0|4.3|1.189|109|24|11|23|23
Kodai Senga|NYM|113.1|7|0|0|3.02|1.317|109|12|6|22|22
Jeremiah Estrada|SDP|73|4|3|30|3.45|1.164|108|12|0|0|77
Joey Cantillo|CLE|95.1|5|1|1|3.21|1.262|108|10|2|13|34
Spencer Schwellenbach|ATL|110.2|7|0|0|3.09|0.971|108|13|13|17|17
Brad Lord|WSN|130.2|5|0|7|4.34|1.298|108|17|5|19|48
Simeon Woods Richardson|MIN|111.1|7|0|0|4.04|1.278|107|17|3|22|23
Tyler Glasnow|LAD|90.1|4|0|0|3.19|1.099|106|10|7|18|18
Tomoyuki Sugano|BAL|157|10|0|0|4.64|1.331|106|33|10|30|30
Bryan Abreu|HOU|71|3|7|25|2.28|1.155|105|4|0|0|70
Eury Pérez|MIA|95.1|7|0|0|4.25|1.052|105|12|4|20|20
Tyler Anderson|LAA|136.1|2|0|0|4.56|1.411|104|28|6|26|26
Davis Martin|CHW|142.2|7|0|0|4.1|1.294|104|20|9|25|26
Cade Smith|CLE|73.2|8|16|19|2.93|1.011|104|4|0|0|76
Mason Miller|2 Tms|61.2|1|22|10|2.63|0.915|104|5|0|0|60
Edwin Uceta|TBR|76|10|1|21|3.79|1.171|103|11|0|0|70
Trevor Rogers|BAL|109.2|9|0|0|1.81|0.907|103|6|13|18|18
Mitchell Parker|WSN|164.2|9|1|0|5.68|1.437|103|25|11|30|33
Eric Lauer|TOR|104.2|9|0|1|3.18|1.113|102|15|4|15|28
Landen Roupp|SFG|106.2|7|0|0|3.8|1.488|102|11|8|22|22
Miles Mikolas|STL|156.1|8|0|0|4.84|1.320|100|29|8|31|31
Griffin Jax|2 Tms|66|1|0|28|4.23|1.288|99|7|0|2|73
J.T. Ginn|ATH|90.1|4|0|1|5.08|1.365|99|17|2|16|23
Jameson Taillon|CHC|129.2|11|0|0|3.68|1.060|98|24|14|23|23
Edwin Díaz|NYM|66.1|6|28|0|1.63|0.877|98|4|0|0|62
Cole Ragans|KCR|61.2|3|0|0|4.67|1.193|98|7|2|13|13
Ronny Henriquez|MIA|73|7|7|26|2.22|1.096|98|8|0|0|69
Aaron Nola|PHI|94.1|5|0|0|6.01|1.350|97|18|6|17|17
Mike Burrows|PIT|96|2|0|0|3.94|1.240|97|13|2|19|23
Ryan Gusto|2 Tms|101.2|7|0|0|5.67|1.482|97|17|4|17|27
Cade Horton|CHC|118|11|0|0|2.67|1.085|97|10|5|22|23
Luis Ortiz|CLE|88.2|4|0|0|4.36|1.383|96|12|5|16|16
Michael Soroka|2 Tms|89.2|3|0|1|4.52|1.132|95|12|4|17|22
Adrian Houser|2 Tms|125|8|0|0|3.31|1.280|92|10|11|21|21
Walker Buehler|2 Tms|126|10|0|0|4.93|1.516|92|22|7|24|26
Joey Wentz|3 Tms|98|5|0|0|5.6|1.561|92|11|3|13|39
Sean Newcomb|2 Tms|92.1|2|2|4|2.73|1.357|91|5|0|5|48
Garrett Whitlock|BOS|72|7|1|24|2.25|1.083|91|2|0|0|62
Brendon Little|TOR|68.1|4|1|30|3.03|1.366|91|2|0|0|79
Devin Williams|NYY|62|4|18|15|4.79|1.129|90|5|0|0|67
Abner Uribe|MIL|75.1|3|7|37|1.67|1.039|90|4|0|0|75
Jose Quintana|MIL|131.2|11|0|0|3.96|1.296|89|18|8|24|24
