name|team|ip|w|sv|hld|era|whip|so|hr|qs
Sam Bachman|LAA|7.3|0|0|2|4.91|1.77|9|0|0
Kyle Hart|SDP|11.0|0|0|3|4.91|1.18|6|0|0
Zak Kent|MIN|3.7|0|0|0|4.91|2.45|2|2|0
Jack Leiter|TEX|14.7|1|0|0|4.91|1.36|21|3|1
Christian Roa|HOU|7.3|0|0|0|4.91|1.91|6|1|0
Jared Shuster|STL|3.7|0|0|0|4.91|1.09|1|0|0
Walker Buehler|SDP|12.7|0|0|0|4.97|1.26|11|1|1
Cade Smith|CLE|9.0|2|3|0|5.0|1.33|11|1|0
Ranger Suarez|BOS|14.3|1|0|0|5.02|1.47|11|2|1
Slade Cecconi|CLE|19.7|0|0|0|5.03|1.37|18|3|1
Adrian Houser|SFG|16.0|0|0|0|5.06|1.56|10|1|0
Sean Newcomb|CHW|10.7|0|0|1|5.06|1.5|10|0|0
Scott Barlow|ATH|7.0|0|0|3|5.14|1.14|6|1|0
Jeremiah Estrada|SDP|7.0|1|0|3|5.14|1.43|8|0|0
Jack Flaherty|DET|14.0|0|0|0|5.14|1.64|14|1|0
Kyle Leahy|STL|14.0|1|0|0|5.14|1.71|7|1|0
Albert Suárez|BAL|7.0|1|1|0|5.14|1.29|3|2|0
Joe Boyle|TBR|15.7|0|0|0|5.17|1.09|16|1|1
Logan Webb|SFG|24.0|1|0|0|5.25|1.38|21|1|2
Brandon Williamson|CIN|15.3|1|0|0|5.28|1.37|10|3|1
Tanner Banks|PHI|6.7|0|0|1|5.4|1.35|7|1|0
David Bednar|NYY|6.7|0|5|0|5.4|2.25|8|0|0
Cody Bolton|HOU|8.3|0|1|0|5.4|1.68|11|1|0
Aaron Bummer|ATL|5.0|0|0|2|5.4|1.6|5|1|0
Luis Curvelo|TEX|5.0|0|0|1|5.4|1.6|3|2|0
Nathan Eovaldi|TEX|21.7|2|0|0|5.4|1.48|26|4|2
Calvin Faucher|MIA|5.0|1|0|1|5.4|2.0|9|0|0
Edgardo Henriquez|LAD|5.0|1|0|0|5.4|1.6|4|0|0
Juan Mejia|COL|8.3|0|1|0|5.4|1.8|5|1|0
Joel Payamps|ATL|3.3|0|0|1|5.4|1.8|5|1|0
Drew Pomeranz|LAA|6.7|0|0|4|5.4|1.35|5|1|0
Eury Pérez|MIA|20.0|1|0|0|5.4|1.55|20|4|1
Jordan Romano|LAA|5.0|0|4|0|5.4|1.4|7|1|0
Jacob Webb|CHC|6.7|0|0|0|5.4|1.95|7|2|0
Kyle Bradish|BAL|19.7|1|0|0|5.49|1.63|21|1|0
Bailey Ober|MIN|19.7|2|0|0|5.49|1.27|14|2|0
Germán Márquez|SDP|13.0|2|0|0|5.54|1.69|10|5|0
Luis Severino|ATH|19.3|0|0|0|5.59|1.71|24|2|0
Brady Singer|CIN|17.7|1|0|0|5.6|1.7|14|3|1
Mason Fluharty|TOR|6.3|0|0|2|5.68|1.58|10|0|0
Brad Lord|WSH|12.7|1|0|2|5.68|1.42|10|3|0
Abner Uribe|MIL|6.3|0|0|4|5.68|1.42|7|0|0
Joe Mantiply|TOR|4.7|1|0|0|5.79|1.07|8|1|0
Andrew Abbott|CIN|20.0|0|0|0|5.85|1.7|12|2|1
Elvis Alvarado|ATH|7.7|2|0|3|5.87|1.57|6|0|0
Kevin Ginkel|ARI|7.7|0|0|2|5.87|1.57|10|0|0
Lance McCullers Jr.|HOU|15.3|1|0|0|5.87|1.3|17|1|1
Brandon Pfaadt|ARI|16.7|0|0|0|5.94|1.38|11|3|1
Edwin Díaz|LAD|6.0|1|4|0|6.0|1.67|10|1|0
Jordan Hicks|CHW|9.0|0|1|1|6.0|1.89|5|0|0
Colin Holderman|CLE|3.0|0|0|0|6.0|1.33|3|1|0
John Schreiber|KCR|6.0|0|1|0|6.0|2.0|3|1|0
Cole Sulser|TBR|9.0|1|0|1|6.0|2.0|7|1|0
Angel Zerpa|MIL|9.0|0|1|2|6.0|1.67|4|1|0
Simeon Woods Richardson|MIN|20.7|0|0|0|6.1|1.6|11|4|1
Brayan Bello|BOS|14.7|1|0|0|6.14|1.91|9|2|1
Mark Leiter Jr.|ATH|7.3|0|2|0|6.14|1.77|7|1|0
Mason Montgomery|PIT|7.3|1|0|3|6.14|1.91|16|1|0
Chris Paddack|MIA|14.7|0|0|0|6.14|1.57|14|3|1
Greg Weissert|BOS|7.3|0|0|3|6.14|1.23|11|3|0
Michael Kelly|ATH|4.3|0|0|0|6.23|2.31|4|1|0
Jesús Luzardo|PHI|17.3|1|0|0|6.23|1.15|26|2|1
Roki Sasaki|LAD|13.0|0|0|0|6.23|1.85|15|3|0
Noah Schultz|CHW|4.3|0|0|0|6.23|1.62|4|0|0
Enmanuel De Jesus|DET|5.7|1|0|0|6.35|1.94|7|0|0
Tanner Bibee|CLE|18.3|0|0|0|6.38|1.64|18|4|0
David Peterson|NYM|19.7|0|0|0|6.41|1.83|21|1|0
Hunter Barco|PIT|7.0|0|0|1|6.43|2.14|5|3|0
Anthony Bender|MIA|7.0|1|1|2|6.43|1.86|8|0|0
Cole Henry|WSH|7.0|0|0|0|6.43|1.71|8|1|0
Tommy Nance|TOR|7.0|0|0|1|6.43|1.57|9|1|0
Justin Bruihl|STL|8.3|0|0|1|6.48|1.56|5|1|0
Mike Burrows|HOU|22.0|1|0|0|6.55|1.82|18|5|0
Emmet Sheehan|LAD|15.0|2|0|0|6.6|1.47|14|4|1
Zach Agnos|COL|9.3|0|1|0|6.75|1.93|9|0|0
Matthew Boyd|CHC|9.3|1|0|0|6.75|1.18|17|1|0
Luis Gil|NYY|4.0|0|0|0|6.75|1.5|2|1|0
Hunter Harvey|CHC|4.0|0|0|0|6.75|1.5|4|2|0
Zack Kelly|BOS|5.3|0|0|1|6.75|0.94|3|1|0
Tyler Schweitzer|CHW|1.3|0|0|0|6.75|2.25|1|0|0
Will Vest|DET|6.7|1|0|2|6.75|1.35|9|0|0
Ken Waldichuk|WSH|9.3|0|0|0|6.75|1.5|8|4|0
Luis Castillo|SEA|13.0|0|0|0|6.92|1.77|14|1|1
