name|team|ip|w|sv|hld|era|whip|so|hr|qs
Rhett Lowder|CIN|16.3|1|0|0|3.31|1.22|11|1|1
Grant Holmes|ATL|21.7|1|0|0|3.32|1.11|17|2|2
Jacob Misiorowski|MIL|21.7|1|0|0|3.32|1.02|33|4|1
Erick Fedde|CHW|16.0|0|0|0|3.38|1.06|12|2|0
Merrill Kelly|ARI|5.3|1|0|0|3.38|1.69|3|1|0
Juan Morillo|ARI|8.0|0|0|6|3.38|1.13|7|1|0
Michael Petersen|MIA|8.0|1|1|1|3.38|1.13|7|1|0
Tyler Uberstine|BOS|2.7|0|0|0|3.38|1.5|2|1|0
Austin Voth|TOR|2.7|0|0|0|3.38|1.5|1|0|0
Grant Wolfram|BAL|8.0|1|0|3|3.38|1.0|13|0|0
Taylor Clarke|ARI|10.3|1|0|5|3.48|0.68|6|1|0
Robert Garcia|TEX|7.7|0|0|2|3.52|1.57|6|0|0
Ryne Nelson|ARI|20.3|1|0|0|3.54|1.03|19|4|0
Aaron Ashby|MIL|12.7|3|0|0|3.55|1.26|19|1|0
Ben Brown|CHC|12.7|0|0|0|3.55|1.18|14|1|0
Reid Detmers|LAA|22.7|1|0|0|3.57|1.06|26|1|2
Sean Burke|CHW|15.0|0|0|0|3.6|1.07|15|0|0
Zac Gallen|ARI|20.0|1|0|0|3.6|1.45|11|2|1
Dean Kremer|BAL|5.0|0|0|0|3.6|1.2|9|3|0
Colin Rea|CHC|17.3|2|1|0|3.63|0.98|15|2|0
Richard Lovelady|NYM|7.3|1|0|0|3.68|1.64|6|1|0
Zach Pop|PHI|7.3|0|0|0|3.68|1.09|6|0|0
Taylor Rogers|MIN|7.3|0|0|2|3.68|1.64|7|0|0
Keaton Winn|SFG|7.3|0|0|2|3.68|0.82|9|0|0
Jake Woodford|MIL|7.3|1|0|0|3.68|1.36|5|1|0
Grant Anderson|MIL|9.7|0|0|3|3.72|1.14|9|0|0
Osvaldo Bido|ATL|9.7|1|1|0|3.72|0.83|6|0|0
Tyler Wells|BAL|9.7|0|0|4|3.72|1.34|10|1|0
Framber Valdez|DET|24.0|1|0|0|3.75|1.25|13|0|3
